# cycle	 average reward
100	 0.01
200	 0.005
300	 0.00666667
400	 0.005
500	 0.006
600	 0.005
700	 0.00571429
800	 0.00875
900	 0.00777778
1000	 0.008
1100	 0.01
1200	 0.01
1300	 0.01
1400	 0.00928571
1500	 0.0113333
1600	 0.011875
1700	 0.0135294
1800	 0.0127778
1900	 0.0126316
2000	 0.012
2100	 0.0114286
2200	 0.0109091
2300	 0.0104348
2400	 0.01
2500	 0.01
2600	 0.00961538
2700	 0.00962963
2800	 0.00928571
2900	 0.00896552
3000	 0.00933333
3100	 0.00935484
3200	 0.0090625
3300	 0.00939394
3400	 0.00941176
3500	 0.00914286
3600	 0.00916667
3700	 0.00891892
3800	 0.0102632
3900	 0.0120513
4000	 0.01325
4100	 0.0134146
4200	 0.0161905
4300	 0.0213953
4400	 0.0247727
4500	 0.0268889
4600	 0.0297826
4700	 0.0325532
4800	 0.035
4900	 0.0379592
5000	 0.0402
5100	 0.042549
5200	 0.0453846
5300	 0.0475472
5400	 0.0498148
5500	 0.0509091
5600	 0.0528571
5700	 0.0552632
5800	 0.057069
5900	 0.0591525
6000	 0.0603333
6100	 0.0609836
6200	 0.0625806
6300	 0.064127
6400	 0.0648438
6500	 0.0672308
6600	 0.0686364
6700	 0.0695522
6800	 0.0708824
6900	 0.0723188
7000	 0.0737143
7100	 0.0743662
7200	 0.0758333
7300	 0.0778082
7400	 0.0787838
7500	 0.0797333
7600	 0.0803947
7700	 0.0814286
7800	 0.0821795
7900	 0.0839241
