# cycle	 average reward
100	 1.67
200	 1.67
300	 1.79667
400	 1.855
500	 1.876
600	 1.88333
700	 1.87
800	 1.88125
900	 1.88333
1000	 1.881
1100	 1.88091
1200	 1.89833
1300	 1.90462
1400	 1.89357
1500	 1.89533
1600	 1.895
1700	 1.89588
1800	 1.90056
1900	 1.90368
2000	 1.9055
2100	 1.9019
2200	 1.90273
2300	 1.90043
2400	 1.90833
2500	 1.9008
2600	 1.90692
2700	 1.90704
2800	 1.90357
2900	 1.89862
3000	 1.90633
3100	 1.91484
3200	 1.91187
3300	 1.91303
3400	 1.90912
3500	 1.90971
3600	 1.90889
3700	 1.91541
3800	 1.91605
3900	 1.91462
4000	 1.914
4100	 1.91024
4200	 1.9131
4300	 1.91349
4400	 1.91114
4500	 1.908
4600	 1.90891
4700	 1.90915
4800	 1.90896
4900	 1.91265
5000	 1.908
5100	 1.90667
5200	 1.90288
5300	 1.90509
5400	 1.9013
5500	 1.89945
